,ds,y
597,2022-09-25,21336.54296875
598,2022-09-26,22054.140625
599,2022-09-27,21862.78125
600,2022-09-28,23345.814453125
601,2022-09-29,22221.580078125
602,2022-09-30,21934.541015625
603,2022-10-01,21934.541015625
604,2022-10-02,21934.541015625
605,2022-10-03,21695.341796875
606,2022-10-04,21527.90234375
607,2022-10-05,21647.501953125
608,2022-10-06,21814.94140625
609,2022-10-07,21838.861328125
610,2022-10-08,21838.861328125
611,2022-10-09,21838.861328125
612,2022-10-10,21767.1015625
613,2022-10-11,21767.1015625
614,2022-10-12,21360.462890625
615,2022-10-13,21360.462890625
616,2022-10-14,21336.54296875
617,2022-10-15,21336.54296875
618,2022-10-16,21336.54296875
619,2022-10-17,21145.185546875
620,2022-10-18,21169.10546875
621,2022-10-19,21767.1015625
622,2022-10-20,23608.93359375
623,2022-10-21,23800.29296875
624,2022-10-22,23800.29296875
625,2022-10-23,23800.29296875
626,2022-10-24,23441.494140625
627,2022-10-25,23058.775390625
628,2022-10-26,23919.892578125
629,2022-10-27,24374.37109375
630,2022-10-28,23321.89453125
631,2022-10-29,23321.89453125
632,2022-10-30,23321.89453125
633,2022-10-31,23058.775390625
634,2022-11-01,22078.060546875
635,2022-11-02,22245.5
636,2022-11-03,22269.419921875
637,2022-11-04,21671.421875
638,2022-11-05,21671.421875
639,2022-11-06,21671.421875
640,2022-11-07,21695.341796875
641,2022-11-08,21240.865234375
642,2022-11-09,21623.58203125
643,2022-11-10,21073.42578125
644,2022-11-11,20403.66796875
645,2022-11-12,20403.66796875
646,2022-11-13,20403.66796875
647,2022-11-14,20499.34765625
648,2022-11-15,20810.306640625
649,2022-11-16,20092.708984375
650,2022-11-17,19757.830078125
651,2022-11-18,20164.46875
652,2022-11-19,20164.46875
653,2022-11-20,20164.46875
654,2022-11-21,19853.509765625
655,2022-11-22,19877.4296875
656,2022-11-23,19973.109375
657,2022-11-24,20092.708984375
658,2022-11-25,20523.267578125
659,2022-11-26,20523.267578125
660,2022-11-27,20523.267578125
661,2022-11-28,20762.466796875
662,2022-11-29,20523.267578125
663,2022-11-30,19088.07421875
664,2022-12-01,18083.439453125
665,2022-12-02,18585.755859375
666,2022-12-03,18585.755859375
667,2022-12-04,18585.755859375
668,2022-12-05,18107.359375
669,2022-12-06,17916.0
670,2022-12-07,18035.599609375
671,2022-12-08,18083.439453125
672,2022-12-09,17987.759765625
673,2022-12-10,17987.759765625
674,2022-12-11,17987.759765625
675,2022-12-12,18226.95703125
676,2022-12-13,18131.279296875
677,2022-12-14,18346.556640625
678,2022-12-15,18322.63671875
679,2022-12-16,17987.759765625
680,2022-12-17,17987.759765625
681,2022-12-18,17987.759765625
682,2022-12-19,18226.95703125
683,2022-12-20,17892.080078125
684,2022-12-21,17461.521484375
685,2022-12-22,17772.48046875
686,2022-12-23,18035.599609375
687,2022-12-24,18035.599609375
688,2022-12-25,18035.599609375
689,2022-12-26,18155.19921875
690,2022-12-27,17748.560546875
691,2022-12-28,17533.28125
692,2022-12-29,17605.041015625
693,2022-12-30,17222.322265625
694,2022-12-31,17222.322265625
695,2023-01-01,17222.322265625
696,2023-01-02,17246.2421875
697,2023-01-03,17222.322265625
698,2023-01-04,16863.5234375
699,2023-01-05,15882.80859375
700,2023-01-06,17007.04296875
701,2023-01-07,17007.04296875
702,2023-01-08,17007.04296875
703,2023-01-09,17030.962890625
704,2023-01-10,16720.00390625
705,2023-01-11,16528.646484375
706,2023-01-12,16600.404296875
707,2023-01-13,16552.56640625
708,2023-01-14,16552.56640625
709,2023-01-15,16552.56640625
710,2023-01-16,16193.767578125
711,2023-01-17,16432.966796875
712,2023-01-18,16289.4462890625
713,2023-01-19,16361.2060546875
714,2023-01-20,16385.126953125
715,2023-01-21,16385.126953125
716,2023-01-22,16385.126953125
717,2023-01-23,16385.126953125
718,2023-01-24,17987.759765625
719,2023-01-25,19183.75390625
720,2023-01-26,21312.625
721,2023-01-27,20953.826171875
722,2023-01-28,20953.826171875
723,2023-01-29,20953.826171875
724,2023-01-30,21145.185546875
725,2023-01-31,22006.30078125
726,2023-02-01,22963.095703125
727,2023-02-02,24206.931640625
728,2023-02-03,22819.578125
729,2023-02-04,22819.578125
730,2023-02-05,22819.578125
731,2023-02-06,22293.33984375
732,2023-02-07,23728.533203125
733,2023-02-08,24183.01171875
734,2023-02-09,25785.64453125
735,2023-02-10,25666.044921875
736,2023-02-11,25666.044921875
737,2023-02-12,25666.044921875
738,2023-02-13,25163.7265625
739,2023-02-14,25498.60546875
740,2023-02-15,25379.005859375
741,2023-02-16,24757.087890625
742,2023-02-17,25235.486328125
743,2023-02-18,25235.486328125
744,2023-02-19,25235.486328125
745,2023-02-20,25187.646484375
746,2023-02-21,26024.84375
747,2023-02-22,24924.52734375
748,2023-02-23,24302.611328125
749,2023-02-24,24948.447265625
750,2023-02-25,24948.447265625
751,2023-02-26,24948.447265625
752,2023-02-27,24206.931640625
753,2023-02-28,23919.892578125
754,2023-03-01,22867.41796875
755,2023-03-02,24087.33203125
756,2023-03-03,24589.6484375
757,2023-03-04,24589.6484375
758,2023-03-05,24589.6484375
759,2023-03-06,25450.765625
760,2023-03-07,24446.130859375
761,2023-03-08,25068.046875
762,2023-03-09,24685.328125
763,2023-03-10,25044.126953125
764,2023-03-11,25044.126953125
765,2023-03-12,25044.126953125
766,2023-03-13,24230.8515625
767,2023-03-14,23537.173828125
768,2023-03-15,24015.572265625
769,2023-03-16,23919.892578125
770,2023-03-17,24398.291015625
771,2023-03-18,24398.291015625
772,2023-03-19,24398.291015625
773,2023-03-20,23943.8125
774,2023-03-21,23393.654296875
775,2023-03-22,23393.654296875
776,2023-03-23,23393.654296875
777,2023-03-24,23561.09375
778,2023-03-25,23561.09375
779,2023-03-26,23561.09375
780,2023-03-27,23561.09375
781,2023-03-28,24493.96875
782,2023-03-29,25307.24609375
783,2023-03-30,25618.205078125
784,2023-03-31,24876.6875
785,2023-04-01,24876.6875
786,2023-04-02,24876.6875
787,2023-04-03,24087.33203125
788,2023-04-04,23943.8125
789,2023-04-05,24063.412109375
790,2023-04-06,24541.80859375
791,2023-04-07,24541.80859375
792,2023-04-08,24541.80859375
793,2023-04-09,24541.80859375
794,2023-04-10,24374.37109375
795,2023-04-11,24087.33203125
796,2023-04-12,23441.494140625
797,2023-04-13,23274.0546875
798,2023-04-14,23537.173828125
799,2023-04-15,23537.173828125
800,2023-04-16,23537.173828125
801,2023-04-17,23250.134765625
802,2023-04-18,23632.853515625
803,2023-04-19,23632.853515625
804,2023-04-20,23632.853515625
805,2023-04-21,23632.853515625
806,2023-04-22,23632.853515625
807,2023-04-23,23632.853515625
808,2023-04-24,23632.853515625
809,2023-04-25,23632.853515625
810,2023-04-26,24589.6484375
811,2023-04-27,25068.046875
812,2023-04-28,27220.837890625
813,2023-04-29,27220.837890625
814,2023-04-30,27220.837890625
815,2023-05-01,27220.837890625
816,2023-05-02,26359.720703125
817,2023-05-03,26933.798828125
818,2023-05-04,26862.0390625
819,2023-05-05,27292.59765625
820,2023-05-06,27292.59765625
821,2023-05-07,27292.59765625
822,2023-05-08,27627.4765625
823,2023-05-09,27579.63671875
824,2023-05-10,28512.51171875
825,2023-05-11,27268.677734375
826,2023-05-12,26646.759765625
827,2023-05-13,26646.759765625
828,2023-05-14,26646.759765625
829,2023-05-15,27747.07421875
830,2023-05-16,27627.4765625
831,2023-05-17,27460.037109375
832,2023-05-18,27460.037109375
833,2023-05-19,26646.759765625
834,2023-05-20,26646.759765625
835,2023-05-21,26646.759765625
836,2023-05-22,26981.638671875
837,2023-05-23,26455.400390625
838,2023-05-24,26407.560546875
839,2023-05-25,26000.923828125
840,2023-05-26,26383.640625
841,2023-05-27,26383.640625
842,2023-05-28,26383.640625
843,2023-05-29,26216.201171875
844,2023-05-30,26264.041015625
845,2023-05-31,25833.484375
846,2023-06-01,25833.484375
847,2023-06-02,25833.484375
848,2023-06-03,25833.484375
849,2023-06-04,25833.484375
850,2023-06-05,27340.4375
851,2023-06-06,27172.998046875
852,2023-06-07,26885.958984375
853,2023-06-08,26790.279296875
854,2023-06-09,26216.201171875
855,2023-06-10,26216.201171875
856,2023-06-11,26216.201171875
857,2023-06-12,26694.599609375
858,2023-06-13,26790.279296875
859,2023-06-14,26407.560546875
860,2023-06-15,26551.080078125
861,2023-06-16,26503.240234375
862,2023-06-17,26503.240234375
